date,index,price,lm_unemployment,lm_fed_rate,lm_cpi
14-Jun,95,3849.48,6.3,0.09,236.918
14-Jul,94,3892.5,6.1,0.1,237.231
14-Aug,93,4082.56,6.2,0.09,237.498
14-Sep,92,4049.45,6.1,0.09,237.46
14-Oct,91,4158.21,5.9,0.09,237.477
14-Nov,90,4337.78,5.7,0.09,237.43
14-Dec,89,4236.28,5.8,0.09,236.983
15-Jan,88,4148.43,5.6,0.12,236.252
15-Feb,87,4440.67,5.7,0.11,234.747
15-Mar,86,4333.69,5.5,0.11,235.342
15-Apr,85,4414.25,5.4,0.11,235.976
15-May,84,4508.25,5.4,0.12,236.222
15-Jun,83,4396.76,5.6,0.12,237.001
15-Jul,82,4588.91,5.3,0.13,237.657
15-Aug,81,4274.58,5.2,0.13,238.034
15-Sep,80,4181.06,5.1,0.14,238.033
15-Oct,79,4648.83,5,0.14,237.498
15-Nov,78,4664.51,5,0.12,237.733
15-Dec,77,4593.27,5.1,0.12,238.017
16-Jan,76,4279.17,5,0.24,237.761
16-Feb,75,4201.12,4.8,0.34,237.652
16-Mar,74,4483.65,4.9,0.38,237.336
16-Apr,73,4341.3,5,0.36,238.08
16-May,72,4523.89,5.1,0.37,238.992
16-Jun,71,4417.7,4.8,0.37,239.557
16-Jul,70,4730.23,4.9,0.38,240.222
16-Aug,69,4771.06,4.8,0.39,240.101
16-Sep,68,4875.7,4.9,0.4,240.545
16-Oct,67,4801.27,5,0.4,241.176
16-Nov,66,4810.81,4.9,0.4,241.741
16-Dec,65,4863.62,4.7,0.41,242.026
17-Jan,64,5116.77,4.7,0.54,242.637
17-Feb,63,5330.31,4.7,0.65,243.618
17-Mar,62,5436.23,4.6,0.66,244.006
17-Apr,61,5583.53,4.4,0.79,243.892
17-May,60,5788.8,4.4,0.9,244.193
17-Jun,59,5646.92,4.4,0.91,244.004
17-Jul,58,5880.33,4.3,1.04,244.163
17-Aug,57,5988.6,4.3,1.15,244.243
17-Sep,56,5979.3,4.4,1.16,245.183
17-Oct,55,6248.56,4.3,1.15,246.435
17-Nov,54,6365.56,4.2,1.15,246.626
17-Dec,53,6396.42,4.2,1.16,247.284
18-Jan,52,6949.99,4.1,1.3,247.805
18-Feb,51,6854.42,4,1.41,248.743
18-Mar,50,6581.13,4.1,1.42,249.439
18-Apr,49,6605.57,4,1.51,249.581
18-May,48,6967.73,4,1.69,250.146
18-Jun,47,7040.8,3.8,1.7,250.779
18-Jul,46,7231.98,4,1.82,251.118
18-Aug,45,7654.55,3.8,1.91,251.323
18-Sep,44,7627.65,3.8,1.91,251.749
18-Oct,43,6967.1,3.7,1.95,252.239
18-Nov,42,6949.01,3.8,2.19,252.862
18-Dec,41,6329.97,3.8,2.2,252.657
19-Jan,40,6906.84,3.9,2.27,252.551
19-Feb,39,7097.52,4,2.4,252.47
19-Mar,38,7378.77,3.8,2.4,253.135
19-Apr,37,7781.46,3.8,2.41,254.273
19-May,36,7127.96,3.6,2.42,255.163
19-Jun,35,7671.07,3.6,2.39,255.325
19-Jul,34,7848.78,3.6,2.38,255.361
19-Aug,33,7691,3.7,2.4,255.9
19-Sep,32,7749.45,3.7,2.13,256.179
19-Oct,31,8083.83,3.5,2.04,256.596
19-Nov,30,8403.68,3.6,1.83,257.305
19-Dec,29,8733.07,3.6,1.55,257.788
20-Jan,28,8991.51,3.6,1.55,258.263
20-Feb,27,8461.83,3.5,1.55,258.682
20-Mar,26,7813.5,3.5,1.58,259.007
20-Apr,25,9000.51,4.4,0.65,258.165
20-May,24,9555.52,14.7,0.05,256.094
20-Jun,23,10156.85,13.2,0.05,255.944
20-Jul,22,10905.88,11,0.08,257.217
20-Aug,21,12110.7,10.2,0.09,258.543
20-Sep,20,11418.06,8.4,0.1,259.58
20-Oct,19,11052.95,7.9,0.09,260.19
20-Nov,18,12268.32,6.9,0.09,260.352
20-Dec,17,12888.28,6.7,0.09,260.721
21-Jan,16,12925.38,6.7,0.09,261.564
21-Feb,15,12909.44,6.4,0.09,262.2
21-Mar,14,13091.44,6.2,0.08,263.346
21-Apr,13,13860.76,6,0.07,265.028
21-May,12,13686.51,6,0.07,266.727
21-Jun,11,14554.8,5.8,0.06,268.599
21-Jul,10,14959.9,5.9,0.08,270.955
21-Aug,9,15582.51,5.4,0.1,272.184
21-Sep,8,14689.62,5.2,0.09,273.092
21-Oct,7,15850.47,4.7,0.08,274.214
21-Nov,6,16135.92,4.6,0.08,276.59
21-Dec,5,16320.08,4.2,0.08,278.524
22-Jan,4,14930.05,3.9,0.08,280.126
22-Feb,3,14237.81,4,0.08,281.933
22-Mar,2,14838.49,3.8,0.08,284.182
22-Apr,1,12854.8,3.6,0.2,287.708
22-May,0,12642.1,3.6,0.33,288.663
22-Jun,-1,11503.72,3.6,0.77,291.474
22-Jul,-2,12947.98,3.6,1.21,295.328
22-Aug,-3,12272.03,3.5,1.68,295.271
22-Sep,-4,10971.22,3.7,2.33,295.62
22-Oct,-5,11405.57,3.5,2.56,296.761
22-Nov,-6,12030.06,3.7,3.08,298.062
